entry_ts,exit_ts,side,entry,exit,lots,pnl,R,reason,atr,spread_cost_px,commission,equity_after
2026-01-08 13:00:00,2026-01-08 13:31:00,1,25590.95421875,25573.426872329714,2.9,-52.56930461883334,-1.051386092376667,sl,11.48489761352539,0.455,1.74,9947.430695381167
2026-01-08 15:10:00,2026-01-08 16:30:00,1,25599.255,25579.98829753876,2.62,-52.05076044845391,-1.0465166743533552,sl,12.644468307495117,0.455,1.572,9895.379934932713
2026-01-12 14:20:00,2026-01-12 16:30:00,1,25564.755,25599.2614201355,2.86,96.97236158752442,1.9599522651008512,tp,11.502140045166016,0.455,1.716,9992.352296520237
2026-01-13 07:15:00,2026-01-13 08:13:00,1,25719.62578125,25746.00371761322,3.7800000000000002,97.44059945297242,1.9503035233636705,tp,8.792645454406738,0.525,2.2680000000000002,10089.792895973209
2026-01-13 08:30:00,2026-01-13 09:00:00,1,25752.12578125,25739.33758058548,4.03,-53.95444867801373,-1.0694857512793292,sl,8.325467109680176,0.525,2.418,10035.838447295197
2026-01-13 19:50:00,2026-01-13 23:30:00,-1,25732.7,25745.52421875,1.01,-13.5584609375,-0.27020086081904204,flat,33.091739654541016,0.35000000000000003,0.606,10022.279986357697
2026-01-15 13:10:00,2026-01-15 14:24:00,1,25682.255,25660.216382579805,2.3000000000000003,-52.068820066450364,-1.0390613740052428,sl,14.492411613464355,0.455,1.3800000000000001,9970.211166291245
2026-01-15 14:50:00,2026-01-15 15:34:00,1,25684.45421875,25722.40844619751,2.62,97.86807591247559,1.9632096909514287,tp,12.651409149169922,0.455,1.572,10068.079242203721
2026-01-15 15:45:00,2026-01-15 16:34:00,1,25744.05578125,25720.323793010713,2.14,-52.07045483207547,-1.0343672031067206,sl,15.621325492858887,0.455,1.284,10016.008787371646
2026-01-19 07:20:00,2026-01-19 08:58:00,1,25251.825,25233.784068489076,2.82,-52.567426860807274,-1.0496681458004544,sl,11.827287673950195,0.525,1.692,9963.441360510838
2026-01-22 03:20:00,2026-01-22 07:25:00,1,25439.62578125,25424.00078125,2.14,-34.7215,-0.6969780569515949,time,15.508661270141602,0.525,1.284,9928.719860510839
2026-01-22 14:30:00,2026-01-22 15:47:00,1,25544.854609375,25589.754848365785,2.21,97.90352816963197,1.9721279187062244,tp,14.96674633026123,0.455,1.3259999999999998,10026.623388680471
2026-01-22 15:45:00,2026-01-22 16:30:00,1,25582.155390625,25555.212454872133,1.8800000000000001,-51.7807192153917,-1.032864548873939,sl,17.7619571685791,0.455,1.1280000000000001,9974.842669465079
2026-01-23 07:10:00,2026-01-23 09:45:00,1,25568.12578125,25555.596471691133,4.07,-53.43628990459146,-1.0714212078386012,sl,8.152873039245605,0.525,2.442,9921.406379560487
2026-01-29 07:25:00,2026-01-29 08:13:00,1,26109.424609375,26142.257067871094,3.02,97.34202465820313,1.962262625563682,tp,10.94415283203125,0.525,1.8119999999999998,10018.74840421869
2026-01-30 08:15:00,2026-01-30 09:40:00,-1,25665.39921875,25605.10809249878,1.6600000000000001,99.08726957702638,1.9780368880269068,tp,20.097042083740234,0.525,0.996,10117.835673795717
2026-02-02 14:10:00,2026-02-02 16:01:00,1,25365.45421875,25428.75491798401,1.59,99.69411178207399,1.9706608210740713,tp,21.10023307800293,0.455,0.954,10217.52978557779
2026-02-04 07:45:00,2026-02-04 08:40:00,1,25331.825,25370.835382652283,2.61,100.25109872245788,1.962335335962787,tp,13.003460884094238,0.525,1.5659999999999998,10317.78088430025
2026-02-04 08:35:00,2026-02-04 09:50:00,1,25366.424609375,25407.520631980897,2.5100000000000002,101.64501674079897,1.9702883377851947,tp,13.698674201965332,0.525,1.506,10419.425901041048
2026-02-10 09:50:00,2026-02-10 11:09:00,1,25249.755,25286.80329311371,2.81,102.41970364952087,1.9659375597514968,tp,12.349431037902832,0.455,1.686,10521.845604690569
2026-02-12 13:10:00,2026-02-12 15:08:00,1,25273.155390625,25255.05979927063,2.95,-55.15199449538971,-1.0483330884612738,sl,11.863727569580078,0.455,1.77,10466.693610195178
2026-02-13 08:15:00,2026-02-13 08:23:00,1,24646.825,24615.04403152466,1.6600000000000001,-53.75240766906618,-1.027113426091085,sl,20.98731231689453,0.525,0.996,10412.941202526112
2026-02-13 08:50:00,2026-02-13 10:50:00,1,24624.924609375,24694.94193763733,1.48,102.73764582824707,1.9732685286520888,tp,23.339109420776367,0.525,0.888,10515.678848354359
2026-02-16 07:20:00,2026-02-16 07:38:00,1,24750.52421875,24736.595857524873,3.85,-55.93419071674067,-1.0638246284117747,sl,9.08557415008545,0.525,2.31,10459.744657637619
2026-02-16 08:45:00,2026-02-16 09:11:00,1,24752.325,24783.076587867738,3.4,102.51539875030517,1.9601893183013654,tp,10.250529289245605,0.525,2.04,10562.260056387924
2026-02-20 19:15:00,2026-02-20 19:51:00,-1,24860.00078125,24942.249324798584,0.64,-53.02306787109329,-1.0040098915956077,sl,54.632362365722656,0.35000000000000003,0.384,10509.23698851683
2026-02-23 07:30:00,2026-02-23 08:59:00,1,24774.225390625,24811.62681980133,2.8000000000000003,103.04400169372559,1.9610177562142541,tp,12.467143058776855,0.525,1.6800000000000002,10612.280990210556
2026-02-23 08:55:00,2026-02-23 09:12:00,1,24811.62578125,24844.969295692445,3.18,104.12437592697144,1.9623373339439916,tp,11.11450481414795,0.525,1.908,10716.405366137527
2026-02-23 13:10:00,2026-02-23 13:34:00,1,24921.255,24899.8889261055,2.54,-55.793827692030014,-1.0412787830578225,sl,14.044049263000488,0.455,1.524,10660.611538445497
2026-02-23 16:10:00,2026-02-23 16:30:00,1,24904.155390625,24959.542019729615,1.92,105.19032788085937,1.9734389064175197,tp,18.462209701538086,0.455,1.152,10765.801866326357
2026-02-23 16:25:00,2026-02-23 16:40:00,1,24924.655390625,24895.220709877016,1.84,-55.26381257629261,-1.026654832821114,sl,19.423120498657227,0.455,1.104,10710.538053750064
2026-03-04 07:40:00,2026-03-04 08:01:00,1,24563.325,24513.627258682252,1.08,-54.32156062316817,-1.014357268524874,sl,32.931827545166016,0.525,0.648,10656.216493126896
2026-03-04 09:20:00,2026-03-04 11:13:00,1,24568.95421875,24657.002131347657,1.21,105.81197424316406,1.985920130496809,tp,29.34930419921875,0.455,0.726,10762.02846737006
2026-03-09 07:20:00,2026-03-09 08:22:00,1,24094.62578125,24172.089373779298,1.3800000000000001,106.07175769042969,1.9712223957041934,tp,25.821197509765625,0.525,0.8280000000000001,10868.10022506049
2026-03-09 08:20:00,2026-03-09 09:10:00,1,24174.52421875,24256.90336341858,1.31,107.13067951583862,1.9714702164562043,tp,27.459714889526367,0.525,0.786,10975.230904576329
2026-03-10 04:45:00,2026-03-10 05:46:00,1,24950.924609375,24909.33839454651,1.32,-55.685803573607444,-1.0147541142006993,sl,27.52414321899414,0.525,0.792,10919.545101002721
2026-03-10 07:35:00,2026-03-10 07:51:00,1,24893.225390625,24859.711577796937,1.6400000000000001,-55.94665303802371,-1.0247066616884295,sl,22.142541885375977,0.525,0.984,10863.598447964698
2026-03-10 08:00:00,2026-03-10 10:05:00,1,24922.52421875,24992.591523361207,1.55,107.67432214736938,1.9822956944352494,tp,23.35576820373535,0.525,0.9299999999999999,10971.272770112068
2026-03-10 10:00:00,2026-03-10 10:24:00,1,24965.55578125,25023.347889785768,1.8900000000000001,108.09308513259889,1.9704748464018869,tp,19.264036178588867,0.455,1.1340000000000001,11079.365855244665
2026-03-16 06:45:00,2026-03-16 07:40:00,1,24529.825,24508.962614917757,2.69,-57.73381587123675,-1.0421862880158823,sl,13.708256721496582,0.525,1.6139999999999999,11021.63203937343
2026-03-16 08:35:00,2026-03-16 10:02:00,1,24525.725390625,24560.20668525696,3.19,108.08132987594604,1.9612581782777496,tp,11.493764877319336,0.525,1.914,11129.713369249375
2026-03-16 10:00:00,2026-03-16 10:11:00,1,24563.255,24544.774293498995,3.06,-58.38696189307944,-1.0492087254357974,sl,12.120471000671387,0.455,1.8359999999999999,11071.326407356297
2026-03-17 07:15:00,2026-03-17 07:49:00,1,24593.52421875,24625.618951034547,3.44,108.34187905883789,1.957161681853235,tp,10.698244094848633,0.525,2.064,11179.668286415133
2026-03-17 07:45:00,2026-03-17 08:03:00,1,24627.02421875,24610.12785949707,3.36,-58.7877670898413,-1.0516907225463334,sl,11.064239501953125,0.525,2.016,11120.880519325292
2026-03-17 16:20:00,2026-03-17 16:30:00,1,24793.755,24762.79994304657,1.81,-57.1146530857073,-1.0271606279099288,sl,20.436704635620117,0.455,1.086,11063.765866239586
2026-03-17 16:35:00,2026-03-17 17:14:00,1,24848.649999999998,24807.572732543944,1.35,-56.26431106567285,-1.0170914993304407,sl,27.184844970703125,0.35000000000000003,0.81,11007.501555173912
2026-03-18 03:00:00,2026-03-18 03:14:00,1,24796.12578125,24828.595055770875,3.39,108.03684062576293,1.9629675287210269,tp,10.823091506958008,0.525,2.034,11115.538395799675
2026-03-18 05:05:00,2026-03-18 06:58:00,1,24886.424609375,24918.91581363678,3.42,109.06791857528685,1.9624405888697452,tp,10.830401420593262,0.525,2.052,11224.606314374963
2026-03-20 12:40:00,2026-03-20 13:01:00,-1,24261.50078125,24186.54979057312,1.49,110.78297610855103,1.9739307198093028,tp,24.98366355895996,0.455,0.894,11335.389290483514
