,,ret
2020,1,0.0
2020,2,0.0
2020,3,0.0
2020,4,0.08231503004205254
2020,5,0.019933426388261344
2020,6,0.0326982732717338
2020,7,0.03409370975052006
2020,8,0.04312982800454401
2020,9,0.009416238337425664
2020,10,0.055938804498830486
2020,11,0.018043464914957674
2020,12,-0.005330416434692342
2021,1,-0.018904549544361715
2021,2,0.02032466031384983
2021,3,-0.05153733057229937
2021,4,0.041692967644059165
2021,5,0.026306994258169958
2021,6,0.005653673680708238
2021,7,-0.037107738285880765
2021,8,-0.0011355014002262243
2021,9,-0.01763317269381215
2021,10,-0.007989507489144176
2021,11,-0.008594594101969943
2021,12,-9.069080355361692e-06
2022,1,0.053558627977341455
2022,2,-0.018269943826555002
2022,3,0.007261770874020357
2022,4,-0.05812392395766286
2022,5,0.05273791241463388
2022,6,0.04736099304015351
2022,7,0.06253097659381868
2022,8,-0.018786941650627997
2022,9,0.03056106111498358
2022,10,-0.006084896244719307
2022,11,0.007972193138695793
2022,12,0.037230451043990254
2023,1,-0.04492707501391846
2023,2,-0.054088082700211815
2023,3,0.0073424586388022295
2023,4,0.010538531514084681
2023,5,0.035331599301002825
2023,6,0.007949182249475717
2023,7,0.01421685380731752
2023,8,0.004874025935949433
2023,9,-0.018095137994962762
2023,10,0.0036306094699898317
2023,11,0.033942223775417224
2023,12,0.015320330232413415
2024,1,-0.008116881275026633
2024,2,0.03488482806732063
2024,3,0.04467282093102454
2024,4,0.009417209400666593
2024,5,-0.004007572341773513
2024,6,0.034497253639553804
2024,7,0.004251089891085913
2024,8,-0.00937525043568821
2024,9,0.1157925137903919
2024,10,0.04366941424887538
2024,11,-0.016208531489082745
2024,12,0.06375805197518725
2025,1,-0.003523235609281583
2025,2,0.019649434853671988
2025,3,0.04902600945140345
2025,4,0.014992128009732708
2025,5,0.012966607477318925
